sex,dialect_region,speaker_id,durations
M,DR3,MJKR0,441947
M,DR3,MJJB0,433862
M,DR3,MJDA0,327245
M,DR3,MILB0,361339
M,DR3,MHMR0,441854
M,DR3,MHJB0,332728
M,DR3,MGAF0,378262
M,DR3,MFMC0,459185
M,DR3,MRTJ0,536226
M,DR3,MSFV0,459129
M,DR4,MJJJ0,420192
M,DR3,MTJM0,431661
M,DR4,MJEE0,428882
M,DR4,MJDC0,364782
M,DR4,MJAC0,420966
M,DR4,MGXP0,470839
M,DR4,MGRP0,474349
M,DR4,MGJC0,494159
M,DR4,MGAG0,391884
M,DR4,MFWK0,428608
M,DR4,MFRM0,409266
M,DR4,MESG0,415238
M,DR4,MDMA0,497410
M,DR4,MDCD0,410194
M,DR4,MCSS0,452481
M,DR4,MCDR0,476205
M,DR4,MBWP0,434942
M,DR4,MBMA0,428434
M,DR4,MARW0,440646
M,DR4,MAEB0,406865
M,DR3,MWGR0,395966
M,DR3,MWDK0,411838
M,DR3,MVJH0,394085
M,DR3,MTPP0,375204
M,DR3,MTPG0,383313
M,DR3,MTLB0,447822
M,DR3,MTKP0,446621
M,DR5,MMVP0,534025
M,DR5,MPMB0,583088
F,DR1,FDAW0,461610
M,DR7,MRPC1,360186
M,DR7,MRMG0,419790
M,DR7,MRLJ1,373610
M,DR7,MREM0,433003
M,DR7,MPFU0,443766
M,DR7,MPAR0,366713
M,DR7,MNTW0,449478
M,DR7,MMWS1,331476
M,DR7,MMDG0,463152
M,DR7,MKLR0,339526
M,DR7,MKDB0,436236
M,DR7,MKAG0,450896
M,DR7,MJRA0,412272
M,DR7,MJJM0,352523
M,DR7,MJFR0,484655
M,DR7,MJDG0,423892
M,DR7,MJAI0,406481
M,DR7,MHXL0,438006
M,DR7,MHBS0,388873
M,DR7,MGSL0,432264
M,DR7,MGAW0,405989
M,DR7,MGAR0,433215
M,DR7,MGAK0,456480
M,DR7,MFXV0,407773
M,DR7,MFXS0,422156
M,DR7,MDPB0,440280
M,DR7,MRMH0,400378
M,DR7,MSAH1,348497
M,DR7,MDLR0,451369
M,DR7,MSDB0,318784
M,DR8,MRRE0,512067
M,DR8,MRLK0,390887
M,DR8,MRDM0,423813
M,DR8,MMWS0,399950
M,DR8,MMPM0,427906
M,DR8,MMLM0,357455
M,DR8,MMEA0,364260
M,DR8,MKRG0,408997
M,DR8,MKDD0,452764
M,DR8,MEJS0,419015
M,DR8,MCXM0,418635
M,DR8,MBSB0,287771
M,DR8,MBCG0,407694
M,DR7,MWRP0,356600
M,DR7,MWRE0,400843
M,DR7,MVRW0,335484
M,DR7,MTWH1,370204
M,DR7,MTPR0,482631
M,DR7,MTMN0,466365
M,DR7,MTML0,375397
M,DR7,MTLC0,395744
M,DR7,MTKD0,413690
M,DR7,MTER0,440868
M,DR7,MTAB0,513051
M,DR7,MSES0,362914
M,DR7,MDLR1,460137
M,DR7,MDLM0,319691
M,DR5,MRAM0,421664
M,DR6,MJRK0,406725
M,DR6,MEJL0,367782
M,DR6,MEAL0,333647
M,DR6,MDRD0,500643
M,DR6,MCAE0,573028
M,DR6,MBMA1,422893
M,DR6,MAJP0,389754
M,DR6,MABC0,333396
M,DR5,MWSH0,509030
M,DR5,MWEM0,458586
M,DR5,MWCH0,348475
M,DR5,MWAC0,534118
M,DR5,MVLO0,421592
M,DR5,MTMT0,428479
M,DR5,MTDP0,516917
M,DR5,MTAT0,431612
M,DR5,MSRR0,418960
M,DR5,MSEM1,517809
M,DR5,MSDH0,431984
M,DR5,MSAS0,514340
M,DR5,MRVG0,373011
M,DR5,MRML0,543761
M,DR5,MRLD0,367991
M,DR5,MRKM0,483221
M,DR5,MREW1,405294
M,DR5,MRAV0,390617
M,DR6,MESJ0,379615
M,DR6,MKES0,470805
M,DR7,MDLC1,417689
M,DR6,MKLN0,424736
M,DR7,MDKS0,426655
M,DR7,MDED0,454388
M,DR7,MDCM0,423109
M,DR7,MCTH0,426679
M,DR7,MCRE0,422048
M,DR7,MCLK0,421175
M,DR7,MBTH0,464138
M,DR7,MBOM0,378128
M,DR7,MBML0,384616
M,DR7,MBBR0,404194
M,DR7,MBAR0,422337
M,DR7,MAFM0,344768
M,DR7,MAEO0,403111
M,DR7,MADD0,424960
M,DR6,MTXS0,468473
M,DR6,MTJU0,427372
M,DR6,MSVS0,546355
M,DR6,MSMR0,390948
M,DR6,MSJK0,465958
M,DR6,MSDS0,501245
M,DR6,MSAT1,416065
M,DR6,MRXB0,459293
M,DR6,MRMB0,400757
M,DR6,MPGR1,411652
M,DR6,MMDB0,370732
M,DR3,MDWM0,424283
M,DR3,MDTB0,376359
M,DR3,MDSS1,384000
F,DR5,FLOD0,393226
F,DR5,FLJG0,476629
F,DR5,FLJA0,480018
F,DR5,FKKH0,451584
F,DR5,FJXM0,492646
F,DR5,FGMB0,504575
F,DR5,FGDP0,483647
F,DR5,FEXM0,503660
F,DR5,FEAR0,456657
F,DR5,FDTD0,481999
F,DR5,FDMY0,617388
F,DR5,FCDR1,540334
F,DR5,FBMH0,430632
F,DR5,FBJL0,437165
F,DR4,FSSB0,482877
F,DR4,FSAK0,406098
F,DR4,FPAF0,426631
F,DR4,FLKM0,515876
F,DR4,FLHD0,402887
F,DR4,FKLC0,471741
F,DR4,FKDW0,419938
F,DR4,FJXP0,394156
F,DR4,FJWB1,386276
F,DR4,FEEH0,452588
F,DR4,FDKN0,501126
F,DR4,FCAG0,388204
F,DR5,FLMK0,424293
F,DR5,FMPG0,564711
F,DR4,FBAS0,468629
F,DR5,FPMY0,481723
F,DR7,FJEN0,525449
F,DR7,FCRZ0,397697
F,DR7,FCJS0,419151
F,DR7,FBLV0,460560
F,DR6,FTAJ0,334301
F,DR6,FSGF0,422652
F,DR6,FSDJ0,382776
F,DR6,FSBK0,462081
F,DR6,FRJB0,397138
F,DR6,FPAD0,447721
F,DR6,FMJU0,445030
F,DR6,FLAG0,461148
F,DR6,FKLC1,425552
F,DR6,FJDM2,444359
F,DR6,FHXS0,475057
F,DR6,FBCH0,455657
F,DR6,FAPB0,545697
F,DR5,FTLG0,481989
F,DR5,FTBW0,440175
F,DR5,FSMS1,435638
F,DR5,FSMM0,459224
F,DR5,FSKP0,389417
F,DR5,FSJG0,633848
F,DR5,FSDC0,405342
F,DR5,FSAG0,515822
F,DR4,FBMJ0,499769
F,DR4,FALR0,401869
M,DR3,MDNS0,431888
F,DR2,FMJB0,445530
F,DR2,FLMA0,370861
F,DR2,FKAA0,459130
F,DR2,FJKL0,417303
F,DR2,FHLM0,440700
F,DR2,FEAC0,433879
F,DR2,FDXW0,369562
F,DR2,FDNC0,495736
F,DR2,FDAS1,455140
F,DR2,FCYL0,434136
F,DR2,FCMM0,420927
F,DR2,FCAJ0,375360
F,DR2,FAJW0,471484
F,DR2,FAEM0,430416
F,DR1,FVMH0,389182
F,DR1,FVFB0,370833
F,DR1,FTBR0,434977
F,DR1,FSMA0,463748
F,DR1,FSJK1,395167
F,DR1,FSAH0,453881
F,DR1,FMEM0,491415
F,DR1,FKFB0,493328
F,DR1,FJSP0,417657
F,DR1,FETB0,432569
F,DR1,FECD0,509311
F,DR1,FDML0,383991
F,DR2,FLMC0,427752
F,DR2,FMKF0,411222
F,DR3,FSLS0,433725
F,DR2,FMMH0,419029
F,DR3,FSKC0,401979
F,DR3,FSJW0,436182
F,DR3,FSJS0,455218
F,DR3,FPAZ0,448166
F,DR3,FNTB0,410689
F,DR3,FMJF0,458799
F,DR3,FLTM0,438247
F,DR3,FLJD0,419993
F,DR3,FLAC0,407397
F,DR3,FJLR0,463574
F,DR3,FJLG0,432325
F,DR3,FGRW0,484634
F,DR3,FGCS0,382520
F,DR3,FEME0,455382
F,DR3,FDJH0,422676
F,DR3,FDFB0,373459
F,DR3,FCMG0,457016
F,DR3,FCKE0,402166
F,DR3,FALK0,435391
F,DR2,FTMG0,407843
F,DR2,FSRH0,398447
F,DR2,FSKL0,396599
F,DR2,FSCN0,535631
F,DR2,FRLL0,419282
F,DR2,FPJF0,409110
F,DR7,FJHK0,424734
F,DR7,FJRP1,496009
F,DR7,FJSK0,451014
M,DR2,MRJM1,432839
M,DR2,MRJH0,464164
M,DR2,MRHL0,373550
M,DR2,MRGS0,438590
M,DR2,MRFK0,389723
M,DR2,MRCW0,381941
M,DR2,MRAB0,429092
M,DR2,MPRB0,512758
M,DR2,MPPC0,421861
M,DR2,MMXS0,421085
M,DR2,MMGK0,327769
M,DR2,MMDS0,342067
M,DR2,MMAG0,508129
M,DR2,MMAA0,445956
M,DR2,MKJO0,375611
M,DR2,MKDT0,442804
M,DR2,MKAJ0,361610
M,DR2,MKAH0,422664
M,DR2,MJRP0,396070
M,DR2,MJPM0,399177
M,DR2,MJMD0,380728
M,DR2,MJMA0,402796
M,DR2,MJHI0,435820
M,DR2,MJEB0,409803
M,DR2,MJDE0,593531
M,DR2,MJBG0,444929
M,DR2,MRJM0,454295
M,DR2,MRJT0,452632
F,DR7,FKDE0,458070
M,DR2,MRLJ0,376223
M,DR3,MDLH0,461429
M,DR3,MDLC0,464618
M,DR3,MDJM0,416572
M,DR3,MDHS0,389363
M,DR3,MDEF0,349741
M,DR3,MDDC0,397798
M,DR3,MDBB1,397134
M,DR3,MCEF0,399732
M,DR3,MCDD0,367020
M,DR3,MCDC0,414988
M,DR3,MCAL0,436256
M,DR3,MBEF0,346113
M,DR3,MAPV0,470338
M,DR3,MAKR0,313242
M,DR3,MAKB0,415417
M,DR3,MADC0,440814
M,DR2,MZMB0,423472
M,DR2,MWSB0,364111
M,DR2,MTJG0,418234
M,DR2,MTDB0,424305
M,DR2,MTBC0,421414
M,DR2,MTAT1,498320
M,DR2,MSAT0,312730
M,DR2,MRMS0,384904
M,DR2,MRLR0,411279
M,DR2,MJAE0,444607
M,DR2,MHRM0,391063
M,DR2,MEFG0,462684
M,DR2,MDWD0,382646
M,DR1,MJWT0,467707
M,DR1,MJEB1,435755
M,DR1,MGRL0,371248
M,DR1,MEDR0,369363
M,DR1,MDPK0,358212
M,DR1,MDAC0,445240
M,DR1,MCPM0,395559
F,DR8,FPLS0,398345
F,DR8,FNKL0,420217
F,DR8,FMBG0,429338
F,DR8,FKLH0,430856
F,DR8,FJRB0,368710
F,DR8,FCLT0,414758
F,DR8,FCEG0,362556
F,DR8,FBCG1,418687
F,DR7,FVKB0,434343
F,DR7,FSPM0,466544
F,DR7,FREH0,376728
F,DR7,FPAC0,479050
F,DR7,FPAB1,480946
F,DR7,FMKC0,423587
F,DR7,FMAH1,428819
F,DR7,FLET0,407829
F,DR7,FLEH0,436462
F,DR7,FKSR0,434281
M,DR1,MKLS0,478375
M,DR1,MKLW0,451489
M,DR1,MMGG0,417831
M,DR1,MWAR0,437375
M,DR2,MDSS0,340200
M,DR2,MDPS0,400319
M,DR2,MDMT0,394551
M,DR2,MDLC2,368229
M,DR2,MDLB0,510053
M,DR2,MDEM0,482318
M,DR2,MDBP0,461337
M,DR2,MCTM0,417552
M,DR2,MCEW0,454364
M,DR2,MBJV0,388694
M,DR2,MARC0,344239
M,DR1,MWAD0,313303
M,DR1,MMRP0,414597
M,DR1,MTRR0,431401
M,DR1,MTPF0,357257
M,DR1,MTJS0,434004
M,DR1,MRWS0,381219
M,DR1,MRSO0,542159
M,DR1,MRDD0,406306
M,DR1,MRCG0,443203
M,DR1,MRAI0,469753
M,DR1,MPSW0,330271
M,DR1,MPGR0,376139
M,DR1,MPGH0,357050
M,DR8,MTCS0,416229
